アーケード,あーけーど
土砂降り,どしゃぶり
土砂降り雨,どしゃぶりあめ
図書,としょ
土壌,どじょう
図書係,としょがかり
図書館,としょかん
図書室,としょしつ
どじょっこ,どじょっこ
年寄り,としより
都心,としん
土人,どじん
土足,どそく
戸棚,とだな
途端,とたん
土地,とち
土着,どちゃく
途中,とちゅう
凸,とつ
読解,どっかい
特急,とっきゅう
特許,とっきょ
疾っく,とっく
特権,とっけん
咄嗟,とっさ
ドッジボール,どっじぼーる
とって,とって
突破,とっぱ
トップ,とっぷ
土手,どて
都電,とでん
届け,とどけ
都内,とない
隣,となり
隣り合わせ,となりあわせ
隣村,となりむら
何の位,どのくらい
殿様,とのさま
何の辺,どのへん
鳶,とび
飛び石,とびいし
飛魚,とびうお
飛び切り,とびきり
とびばこ,とびばこ
土俵,どひょう
扉,とびら
土瓶,どびん
溝,どぶ
徒歩,とほ
土間,どま
トマト,とまと
とまり,とまり
止まれ,とまれ
富,とみ
留め金,とめがね
友,とも
共稼ぎ,ともかせぎ
共働き,ともばたらき
土曜,どよう
土曜日,どようび
虎,とら
ドライバー,どらいばー
ドライブ,どらいぶ
ドライヤー,どらいやー
トラック,とらっく
ドラマ,どらま
トランク,とらんく
トランシーバー,とらんしーばー
トランジスタ,とらんじすた
トランプ,とらんぷ
トランポリン,とらんぽりん
鳥,とり
取り扱い,とりあつかい
取り合わせ,とりあわせ
鳥居,とりい
鳥篭,とりかご
取り消し,とりけし
鳥小屋,とりごや
取り締まり,とりしまり
取り次ぎ,とりつぎ
鳥肉,とりにく
鳥肌,とりはだ
取り引き,とりひき
塗料,とりょう
努力,どりょく
ドル,どる
ドレス,どれす
泥,どろ
泥だらけ,どろだらけ
トロッコ,とろっこ
どろぼう,どろぼう
泥んこ,どろんこ
トン,とん
とんかち,とんかち
豚カツ,とんかつ
鈍感,どんかん
トンキー,とんきー
団栗,どんぐり
とんち,とんち
とんちき,とんちき
とんとん,とんとん
トンネル,とんねる
鳶,とんび
丼,どんぶり
問屋,とんや
名宛,なあて
内,ない
内科,ないか
内閣,ないかく
ないしょ,ないしょ
内心,ないしん
内臓,ないぞう
ナイチンゲール,ないちんげーる
ナイフ,ないふ
内部,ないぶ
内面,ないめん
内容,ないよう
ナイロン,ないろん
苗,なえ
直し,なおし
直れ,なおれ
なか,なか
長,なが
長雨,ながあめ
長生き,ながいき
長靴,ながぐつ
中頃,なかごろ
長さ,ながさ
長崎,ながさき
流し,ながし
中島,なかじま
仲直り,なかなおり
中庭,なかにわ
半ば,なかば
中程,なかほど
仲間,なかま
中幕,なかまく
仲間外れ,なかまはずれ
なかみ,なかみ
中村,なかむら
眺め,ながめ
中指,なかゆび
なかよし,なかよし
流れ,ながれ
流れ星,ながれぼし
泣き,なき
泣き顔,なきがお
なきごえ,なきごえ
泣き面,なきつら
泣きべそ,なきべそ
泣き笑い,なきわらい
投げ,なげ
名古屋,なごや
情け,なさけ
梨,なし
茄子,なす
謎,なぞ
謎謎,なぞなぞ
夏,なつ
納豆,なっとう
納得,なっとく
菜っ葉,なっぱ
夏休み,なつやすみ
七,なな
七十,ななじゅう
七つ,ななつ
斜め,ななめ
何事,なにごと
七日,なぬか
七日,なのか
菜の花,なのはな
ナプキン,なぷきん
名札,なふだ
鍋,なべ
生,なま
生意気,なまいき
名前,なまえ
鯰,なまず
鉛,なまり
波,なみ
波打ち際,なみうちぎわ
並木,なみき
涙,なみだ
悩み,なやみ
奈良,なら
習い,ならい
並び,ならび
鳴り,なり
縄,なわ
苗代,なわしろ
なわとび,なわとび
何回,なんかい
南極,なんきょく
何時,なんじ
何十,なんじゅう
何千,なんぜん
何度,なんど
何日,なんにち
何年,なんねん
何百,なんびゃく
南部,なんぶ
何分間,なんぷんかん
南米,なんべい
何遍,なんべん
南北,なんぼく
何本,なんぼん
似合い,にあい
新潟,にいがた
ニーズ,にーず
にいちゃん,にいちゃん
におい,におい
二階,にかい
二月,にがつ
苦手,にがて
苦笑い,にがわらい
握り,にぎり
肉,にく
憎しみ,にくしみ
肉体,にくたい
肉屋,にくや
逃げ道,にげみち
二酸化,にさんか
二酸化炭素,にさんかたんそ
西,にし
虹,にじ
錦,にしき
二十,にじゅう
二乗,にじょう
ニス,にす
にせ,にせ
二世,にせい
にせもの,にせもの
荷台,にだい
日,にち
日豪,にちごう
日時,にちじ
日常,にちじょう
日曜,にちよう
日曜大工,にちようだいく
日曜日,にちようび
日用品,にちようひん
日課,にっか
日課表,にっかひょう
日記,にっき
にづくり,にづくり
日光,にっこう
日光浴,にっこうよく
日誌,にっし
にっしょく,にっしょく
日数,にっすう
日中,にっちゅう
日程,にってい
日本,にっぽん
日本一,にっぽんいち
二年生,にねんせい
二百,にひゃく
荷札,にふだ
日本,にほん
日本海,にほんかい
日本銀行,にほんぎんこう
日本語,にほんご
日本食,にほんしょく
日本人,にほんじん
日本晴れ,にほんばれ
日本舞踊,にほんぶよう
荷物,にもつ
煮物,にもの
乳,にゅう
入院,にゅういん
入園式,にゅうえんしき
入学,にゅうがく
入学式,にゅうがくしき
ニュークリア,にゅーくりあ
入国,にゅうこく
入社,にゅうしゃ
入賞,にゅうしょう
入場,にゅうじょう
入場券,にゅうじょうけん
入場門,にゅうじょうもん
ニュース,にゅーす
入道雲,にゅうどうぐも
ニューヨーク,にゅーよーく
入浴,にゅうよく
尿素,にょうそ
睨み,にらみ
睨めっこ,にらめっこ
庭,にわ
俄雨,にわかあめ
鶏,にわとり
人,にん
人気,にんき
人気者,にんきもの
人魚,にんぎょ
人形,にんぎょう
人形劇,にんぎょうげき
人間,にんげん
認識,にんしき
人情,にんじょう
妊娠,にんしん
人参,にんじん
人数,にんず
人数,にんずう
任務,にんむ
任命,にんめい
縫い,ぬい
縫いぐるみ,ぬいぐるみ
縫い物,ぬいもの
糠,ぬか
温もり,ぬくもり
ぬけがら,ぬけがら
主,ぬし
盗人,ぬすっと
盗人,ぬすびと
盗み,ぬすみ
布,ぬの
沼,ぬま
塗り,ぬり
塗り絵,ぬりえ
値上がり,ねあがり
値上げ,ねあげ
値打ち,ねうち
姉さん狐,ねえさんぎつね
姉ちゃん,ねえちゃん
ネオンサイン,ねおんさいん
願い,ねがい
願い事,ねがいごと
寝返り,ねがえり
寝顔,ねがお
葱,ねぎ
ネクタイ,ねくたい
猫,ねこ
寝言,ねごと
猫柳,ねこやなぎ
値下がり,ねさがり
値下げ,ねさげ
鼠,ねずみ
寝相,ねぞう
ねだり,ねだり
値段,ねだん
熱,ねつ
ネックレス,ねっくれす
根っこ,ねっこ
熱心,ねっしん
熱帯,ねったい
熱帯魚,ねったいぎょ
熱中,ねっちゅう
ネット,ねっと
熱湯,ねっとう
熱容量,ねつようりょう
熱量,ねつりょう
寝床,ねどこ
粘り,ねばり
寝冷え,ねびえ
値引き,ねびき
寝坊,ねぼう
寝ぼけ眼,ねぼけまなこ
ねまき,ねまき
眠り姫,ねむりひめ
ねもと,ねもと
狙い,ねらい
年,ねん
年賀,ねんが
年賀状,ねんがじょう
年月日,ねんがっぴ
年間,ねんかん
年月,ねんげつ
年号,ねんごう
年中,ねんじゅう
年少組,ねんしょうぐみ
年代,ねんだい
年中組,ねんちゅうぐみ
年長組,ねんちょうぐみ
粘土,ねんど
年末,ねんまつ
燃料,ねんりょう
年輪,ねんりん
年齢,ねんれい
脳,のう
農家,のうか
能楽,のうがく
農業,のうぎょう
農産物,のうさんぶつ
農場,のうじょう
農村,のうそん
農地,のうち
濃度,のうど
農繁期,のうはんき
農牧業,のうぼくぎょう
農民,のうみん
農薬,のうやく
能率,のうりつ
能力,のうりょく
農林,のうりん
ノート,のーと
軒,のき
野菊,のぎく
軒下,のきした
鋸,のこぎり
残り,のこり
残り物,のこりもの
のぞき,のぞき
望み,のぞみ
後,のち
ノック,のっく
ノックアウト,のっくあうと
野っぱら,のっぱら
のっぽ,のっぽ
のっぽ杉,のっぽすぎ
のど,のど
野鼠,のねずみ
野原,のはら
野原中,のはらじゅう
のび,のび
伸び縮み,のびちぢみ
延べ,のべ
のぼり,のぼり
蚤,のみ
飲み水,のみみず
飲み物,のみもの
野山,のやま
糊,のり
乗り降り,のりおり
乗り換え,のりかえ
乗り越し,のりこし
乗り物,のりもの
乗り物ごっこ,のりものごっこ
暖簾,のれん
のろま,のろま
場合,ばあい
バーゲンセール,ばーげんせーる
ばあさま,ばあさま
パーセント,ぱーせんと
パーティー,ぱーてぃー
バーベキュー,ばーべきゅー
パーマ,ぱーま
ハーモニカ,はーもにか
婆や,ばあや
灰,はい
倍,ばい
パイ,ぱい
灰色,はいいろ
梅雨,ばいう
バイオリン,ばいおりん
配給,はいきゅう
黴菌,ばいきん
ハイキング,はいきんぐ
俳句,はいく
バイク,ばいく
拝啓,はいけい
拝見,はいけん
灰皿,はいざら
廃止,はいし
媒質,ばいしつ
歯医者,はいしゃ
歯医者さん,はいしゃさん
排出,はいしゅつ
賠償,ばいしょう
排水,はいすい
排斥,はいせき
敗戦,はいせん
配達,はいたつ
配置,はいち
売店,ばいてん
パイナップル,ぱいなっぷる
這い這い,はいはい
売買,ばいばい
パイプ,ぱいぷ
敗北,はいぼく
俳優,はいゆう
はいれつ,はいれつ
蝿,はえ
羽織,はおり
破壊,はかい
葉書,はがき
袴,はかま
秤,はかり
吐き気,はきけ
パキスタン,ぱきすたん
履き物,はきもの
泊,はく
爆撃,ばくげき
白菜,はくさい
博士,はくし
拍手,はくしゅ
白状,はくじょう
白線,はくせん
爆弾,ばくだん
白鳥,はくちょう
爆発,ばくはつ
博物館,はくぶつかん
白墨,はくぼく
歯車,はぐるま
暴露,ばくろ
禿,はげ
化け,ばけ
化け方,ばけかた
バケツ,ばけつ
化けっこ,ばけっこ
化け物,ばけもの
派遣,はけん
箱,はこ
羽子板,はごいた
箱根,はこね
運び,はこび
バザー,ばざー
婆様,ばさま
鋏,はさみ
挟み撃ち,はさみうち
破産,はさん
端,はし
恥,はじ
はしご,はしご
始まり,はじまり
はじめ,はじめ
始め頃,はじめごろ
馬車,ばしゃ
パジャマ,ぱじゃま
場所,ばしょ
柱,はしら
走り,はしり
はしりたかとび,はしりたかとび
はしりはばとび,はしりはばとび
蓮,はす
筈,はず
バス,ばす
パス,ぱす
バスケット,ばすけっと
バス停,ばすてい
パスポート,ぱすぽーと
弾み,はずみ
パズル,ぱずる
外れ,はずれ
パソコン,ぱそこん
破損,はそん
旗,はた
はだ,はだ
バター,ばたー
裸,はだか
叩き,はたき
肌着,はだぎ
はたけ,はたけ
働き,はたらき
働き者,はたらきもの
八,はち
罰,ばち
鉢合わせ,はちあわせ
八月,はちがつ
八十,はちじゅう
鉢巻き,はちまき
蜂蜜,はちみつ
波長,はちょう
初,はつ
罰,ばつ
発育,はついく
撥音,はつおん
発揮,はっき
白金,はっきん
バック,ばっく
バッグ,ばっぐ
発掘,はっくつ
発見,はっけん
発言,はつげん
発行,はっこう
バッジ,ばっじ
初霜,はつしも
発車,はっしゃ
発生,はっせい
発達,はったつ
発展,はってん
発電,はつでん
発電所,はつでんしょ
バット,ばっと
葉っぱ,はっぱ
発売,はつばい
発病,はつびょう
発表,はっぴょう
発表会,はっぴょうかい
発明,はつめい
初詣,はつもうで
果て,はて
派手,はで
鳩,はと
馬頭琴,ばとうきん
パトカー,ぱとかー
バドミントン,ばどみんとん
パトロールカー,ぱとろーるかー
はな,はな
花係,はながかり
花盛り,はなざかり
話,はなし
話し合い,はなしあい
話し声,はなしごえ
話し言葉,はなしことば
花束,はなたば
鼻血,はなぢ
バナナ,ばなな
はなばたけ,はなばたけ
花火,はなび
花びら,はなびら
花見,はなみ
花屋,はなや
花嫁,はなよめ
離れ,はなれ
離れ離れ,はなればなれ
はなわ,はなわ
埴輪,はにわ
羽,はね
ばね,ばね
羽根突き,はねつき
母,はは
はば,はば
パパ,ぱぱ
母親,ははおや
派閥,はばつ
はばとび,はばとび
婆抜き,ばばぬき
歯ブラシ,はぶらし
浜,はま
蛤,はまぐり
浜辺,はまべ
歯磨,はみがき
ハム,はむ
ハムスター,はむすたー
場面,ばめん
波紋,はもん
早起き,はやおき
早く,はやく
早口,はやくち
早口言葉,はやくちことば
はやさ,はやさ
林,はやし
早寝,はやね
早引き,はやびき
はやびけ,はやびけ
原,はら
払い,はらい
パラシュート,ぱらしゅーと
腹鼓,はらづつみ
原っぱ,はらっぱ
腹巻き,はらまき
腸,はらわた
バランス,ばらんす
はり,はり
パリ,ぱり
張り合い,はりあい
張り絵,はりえ
針金,はりがね
張り紙,はりがみ
針鼠,はりねずみ
春,はる
春風,はるかぜ
はるこ,はるこ
はるみ,はるみ
春休み,はるやすみ
晴れ,はれ
バレー,ばれー
パレード,ぱれーど
バレーボール,ばれーぼーる
晴れ着,はれぎ
パレット,ぱれっと
パワーショベル,ぱわーしょべる
ハワイ,はわい
半,はん
晩,ばん
範囲,はんい
繁栄,はんえい
版画,はんが
ハンガー,はんがー
半額,はんがく
ハンカチ,はんかち
ハンカチーフ,はんかちーふ
反感,はんかん
反響,はんきょう
パンク,ぱんく
番組,ばんぐみ
半径,はんけい
反撃,はんげき
判子,はんこ
反抗,はんこう
番号,ばんごう
バンコク,ばんこく
万国旗,ばんこっき
晩御飯,ばんごはん
万歳,ばんざい
反作用,はんさよう
半紙,はんし
判事,はんじ
反射,はんしゃ
繁盛,はんじょう
繁殖,はんしょく
反省,はんせい
伴奏,ばんそう
反則,はんそく
パンダ,ぱんだ
反対,はんたい
反対側,はんたいがわ
判断,はんだん
番地,ばんち
パンチ,ぱんち
パンツ,ぱんつ
半月,はんつき
はんてん,はんてん
バンド,ばんど
半島,はんとう
半年,はんとし
ハンドバッグ,はんどばっぐ
ハンドブック,はんどぶっく
ハンドル,はんどる
半日,はんにち
犯人,はんにん
番人,ばんにん
晩年,ばんねん
反応,はんのう
ハンバーガー,はんばーがー
ハンバーグ,はんばーぐ
販売,はんばい
パンフレット,ぱんふれっと
半分,はんぶん
ハンマー,はんまー
反面,はんめん
ハンモック,はんもっく
パン屋,ぱんや
はんらん,はんらん
日当たり,ひあたり
ビーカー,びーかー
ビーズ,びーず
ヒーター,ひーたー
ビー玉,びーだま
ビーチパラソル,びーちぱらそる
ビーチボール,びーちぼーる
ピーナッツ,ぴーなっつ
冷え,ひえ
被害,ひがい
控え室,ひかえしつ
日帰り,ひがえり
比較,ひかく
ひかげ,ひかげ
日傘,ひがさ
東,ひがし
光,ひかり
彼岸,ひがん
引き算,ひきざん
引き出し,ひきだし
挽き肉,ひきにく
卑怯,ひきょう
引き分け,ひきわけ
ピクニック,ぴくにっく
日暮れ,ひぐれ
ひげ,ひげ
悲劇,ひげき
飛行,ひこう
飛行機,ひこうき
飛行機雲,ひこうきぐも
飛行場,ひこうじょう
飛行船,ひこうせん
日頃,ひごろ
膝,ひざ
ビザ,びざ
膝頭,ひざがしら
膝小僧,ひざこぞう
ひさし,ひさし
ひざし,ひざし
久し振り,ひさしぶり
ひじ,ひじ
ひしゃく,ひしゃく
美術,びじゅつ
美術館,びじゅつかん
避暑,ひしょ
微笑,びしょう
非常口,ひじょうぐち
非常識,ひじょうしき
びしょ濡れ,びしょぬれ
美人,びじん
ビスケット,びすけっと
ピストル,ぴすとる
歪み,ひずみ
襞,ひだ
額,ひたい
浸し,ひたし
左,ひだり
左側,ひだりがわ
左利き,ひだりきき
左手,ひだりて
引っ掛かり,ひっかかり
筆記,ひっき
びっくり,びっくり
びっくり箱,びっくりばこ
日付,ひづけ
引っ越し,ひっこし
引っ込み,ひっこみ
羊,ひつじ
羊飼い,ひつじかい
筆者,ひっしゃ
必然,ひつぜん
必要,ひつよう
否定,ひてい
ビデオ,びでお
人,ひと
人足,ひとあし
一息,ひといき
人影,ひとかげ
人柄,ひとがら
一口,ひとくち
一言,ひとこと
人事,ひとごと
人込み,ひとごみ
人差し指,ひとさしゆび
人だかり,ひとだかり
人違い,ひとちがい
一つ,ひとつ
一月,ひとつき
一つ一つ,ひとつひとつ
人手,ひとで
一通り,ひととおり
人通り,ひとどおり
一飛び,ひととび
ひとのみ,ひとのみ
人人,ひとびと
一筆書き,ひとふでがき
人任せ,ひとまかせ
一纏め,ひとまとめ
瞳,ひとみ
人目,ひとめ
一休み,ひとやすみ
独り言,ひとりごと
独り立ち,ひとりだち
一人一人,ひとりひとり
一人一人,ひとりびとり
雛,ひな
雛菊,ひなぎく
雛人形,ひなにんぎょう
雛祭り,ひなまつり
ひなん,ひなん
避難訓練,ひなんくんれん
ビニールハウス,びにーるはうす
ビニール袋,びにーるぶくろ
皮肉,ひにく
ビニル,びにる
比熱,ひねつ
日の入り,ひのいり
火の粉,ひのこ
日の出,ひので
日延べ,ひのべ
日の丸,ひのまる
火箸,ひばし
火鉢,ひばち
火花,ひばな
批判,ひはん
ひび,ひび
響き,ひびき
批評,ひひょう
皮膚,ひふ
暇,ひま
秘密,ひみつ
姫,ひめ
悲鳴,ひめい
紐,ひも
干物,ひもの
百,ひゃく
百姓,ひゃくしょう
ひやけ,ひやけ
ひゃっかじてん,ひゃっかじてん
百貨店,ひゃっかてん
表,ひょう
費用,ひよう
秒,びょう
美容,びよう
病院,びょういん
美容院,びよういん
評価,ひょうか
病気,びょうき
表現,ひょうげん
標語,ひょうご
ひょうさつ,ひょうさつ
氷山,ひょうざん
拍子,ひょうし
標識,ひょうしき
拍子木,ひょうしぎ
病室,びょうしつ
描写,びょうしゃ
標準,ひょうじゅん
標準語,ひょうじゅんご
表彰,ひょうしょう
表情,ひょうじょう
標線,ひょうせん
瓢箪,ひょうたん
平等,びょうどう
病人,びょうにん
評判,ひょうばん
屏風,びょうぶ
標本,ひょうほん
表面,ひょうめん
表裏,ひょうり
評論,ひょうろん
日除け,ひよけ
雛,ひよこ
開き,ひらき
ピラミッド,ぴらみっど
びり,びり
比率,ひりつ
肥料,ひりょう
昼,ひる
ビル,びる
昼御飯,ひるごはん
ビルディング,びるでぃんぐ
昼寝,ひるね
昼間,ひるま
ビルマ,びるま
昼休み,ひるやすみ
鰭,ひれ
比例,ひれい
拾い,ひろい
拾い物,ひろいもの
疲労,ひろう
ひろがり,ひろがり
広さ,ひろさ
広島,ひろしま
広場,ひろば
品,ひん
びん,びん
ピン,ぴん
敏感,びんかん
ピンク,ぴんく
品詞,ひんし
品質,ひんしつ
貧弱,ひんじゃく
ピンセット,ぴんせっと
便箋,びんせん
びんづめ,びんづめ
貧乏,びんぼう
貧乏汽車,びんぼうぎしゃ
貧乏人,びんぼうにん
ピンぼけ,ぴんぼけ
ピンポン,ぴんぽん
ファーブル,ふぁーぶる
ファイト,ふぁいと
ファスナー,ふぁすなー
ファックス,ふぁっくす
ファン,ふぁん
不安,ふあん
不意,ふい
ブイ,ぶい
フィルム,ふぃるむ
風,ふう
風変わり,ふうがわり
風景,ふうけい
風車,ふうしゃ
風習,ふうしゅう
風船,ふうせん
風俗,ふうぞく
ブーツ,ぶーつ
封筒,ふうとう
夫婦,ふうふ
ブーム,ぶーむ
風鈴,ふうりん
プール,ぷーる
不運,ふうん
笛,ふえ
フェリー,ふぇりー
フェリーボート,ふぇりーぼーと
フェルトペン,ふぇるとぺん
フォーク,ふぉーく
フォークダンス,ふぉーくだんす
不可,ふか
部下,ぶか
深さ,ふかさ
不可能,ふかのう
不完全,ふかんぜん
武器,ぶき
不機嫌,ふきげん
不規則,ふきそく
不吉,ふきつ
吹きっさらし,ふきっさらし
不気味,ぶきみ
普及,ふきゅう
不況,ふきょう
不器用,ぶきよう
ふきん,ふきん
服,ふく
不具,ふぐ
福岡,ふくおか
複雑,ふくざつ
副詞,ふくし
復習,ふくしゅう
服従,ふくじゅう
複数,ふくすう
服装,ふくそう
福引き,ふくびき
含み,ふくみ
覆面,ふくめん
ふくら脛,ふくらはぎ
ふくらみ,ふくらみ
ふくれ,ふくれ
ふくれっ面,ふくれっつら
袋,ふくろ
梟,ふくろう
腹話術,ふくわじゅつ
父兄,ふけい
不景気,ふけいき
不潔,ふけつ
不孝,ふこう
符号,ふごう
不公平,ふこうへい
房,ふさ
ブザー,ぶざー
夫妻,ふさい
不在,ふざい
塞がり,ふさがり
無沙汰,ぶさた
節,ふし
藤,ふじ
武士,ぶし
無事,ぶじ
節穴,ふしあな
ふしあわせ,ふしあわせ
不思議,ふしぎ
富士山,ふじさん
不自然,ふしぜん
部首,ぶしゅ
不自由,ふじゆう
負傷,ふしょう
武将,ぶしょう
不正直,ふしょうじき
不承知,ふしょうち
侮辱,ぶじょく
夫人,ふじん
不親切,ふしんせつ
襖,ふすま
ふせぎ,ふせぎ
不足,ふそく
ふぞく,ふぞく
二,ふた
札,ふだ
豚,ぶた
舞台,ぶたい
ふたご,ふたご
豚小屋,ぶたごや
二つ,ふたつ
豚肉,ぶたにく
負担,ふたん
ふだん,ふだん
普段着,ふだんぎ
縁,ふち
斑,ぶち
不注意,ふちゅうい
物,ぶつ
不通,ふつう
物価,ぶっか
復活,ふっかつ
仏教,ぶっきょう
物資,ぶっし
物質,ぶっしつ
沸石,ふっせき
弗素,ふっそ
物体,ぶったい
仏壇,ぶつだん
沸点,ふってん
沸騰,ふっとう
フットボール,ふっとぼーる
物理,ぶつり
筆,ふで
筆箱,ふでばこ
舞踏,ぶとう
葡萄,ぶどう
懐,ふところ
ふとん,ふとん
鮒,ふな
船乗り,ふなのり
船便,ふなびん
無難,ぶなん
ふね,ふね
不熱心,ふねっしん
不必要,ふひつよう
部品,ぶひん
部分,ぶぶん
不平,ふへい
不便,ふべん
不勉強,ふべんきょう
父母,ふぼ
父母会,ふぼかい
不満,ふまん
踏切,ふみきり
踏み台,ふみだい
不明,ふめい
不名誉,ふめいよ
麓,ふもと
冬,ふゆ
不愉快,ふゆかい
冬篭もり,ふゆごもり
冬猫,ふゆねこ
冬休み,ふゆやすみ
フライパン,ふらいぱん
ブラインド,ぶらいんど
ブラウス,ぶらうす
プラグ,ぷらぐ
ブラシ,ぶらし
ブラジル,ぶらじる
プラス,ぷらす
プラスチック,ぷらすちっく
ブラスバンド,ぶらすばんど
フラッシュ,ふらっしゅ
ブラッシュ,ぶらっしゅ
プラネタリウム,ぷらねたりうむ
プラモデル,ぷらもでる
プラン,ぷらん
ぶらんこ,ぶらんこ
フランス,ふらんす
フランス語,ふらんすご
降り,ふり
振り掛け,ふりかけ
振り子,ふりこ
振り出し,ふりだし
不良,ふりょう
フリル,ふりる
プリン,ぷりん
プリント,ぷりんと
篩,ふるい
フルーツパフェ,ふるーつぱふぇ
震え,ふるえ
古着,ふるぎ
ふるさと,ふるさと
ブルドーザー,ぶるどーざー
古本,ふるほん
無礼,ぶれい
ブレーキ,ぶれーき
フレーズ,ふれーず
ブレーメン,ぶれーめん
プレゼント,ぷれぜんと
風呂,ふろ
プロ,ぷろ
ブローチ,ぶろーち
ふろく,ふろく
風呂敷,ふろしき
ブロック,ぶろっく
フロッピー,ふろっぴー
風呂場,ふろば
プロパンガス,ぷろぱんがす
プロペラ,ぷろぺら
プロレス,ぷろれす
フロント,ふろんと
分,ふん
分,ぶん
雰囲気,ふんいき
噴火,ふんか
文化,ぶんか
憤慨,ふんがい
分解,ぶんかい
文学,ぶんがく
文化クラブ,ぶんかくらぶ
文化財,ぶんかざい
分割,ぶんかつ
分業,ぶんぎょう
文芸,ぶんげい
文献,ぶんけん
文語,ぶんご
分散,ぶんさん
分子,ぶんし
紛失,ふんしつ
文書,ぶんしょ
文章,ぶんしょう
噴水,ふんすい
分数,ぶんすう
分析,ぶんせき
文体,ぶんたい
分担,ぶんたん
文鳥,ぶんちょう
分銅,ふんどう
分配,ぶんぱい
踏ん張り,ふんばり
分布,ぶんぷ
分母,ぶんぼ
文法,ぶんぽう
文房具,ぶんぼうぐ
文房具店,ぶんぼうぐてん
文房具屋,ぶんぼうぐや
粉末,ふんまつ
文脈,ぶんみゃく
文明,ぶんめい
分野,ぶんや
分離,ぶんり
分量,ぶんりょう
分類,ぶんるい
分裂,ぶんれつ
ヘアピン,へあぴん
兵,へい
陛下,へいか
閉会,へいかい
平気,へいき
平均,へいきん
平均台,へいきんだい
平行,へいこう
米国,べいこく
平日,へいじつ
平成,へいせい
平生,へいぜい
兵隊,へいたい
閉店,へいてん
平方,へいほう
平方根,へいほうこん
平凡,へいぼん
平面,へいめん
平野,へいや
平和,へいわ
ページ,ぺーじ
北京,ぺきん
臍,へそ
別,べつ
ベッド,べっど
ペット,ぺっと
ヘッドホーン,へっどほーん
ベテラン,べてらん
ぺてん,ぺてん
紅,べに
蛇,へび
箆,へら
縁,へり
ペリカン,ぺりかん
ヘリコプター,へりこぷたー
ヘリポート,へりぽーと
ベル,べる
ベルギー,べるぎー
ベルト,べると
ヘルメット,へるめっと
ベルリン,べるりん
ベレー帽,べれーぼう
ペレスねずみ,ぺれすねずみ
べろ,べろ
辺,へん
便,べん
ペン,ぺん
変化,へんか
ペンキ屋,ぺんきや
勉強,べんきょう
ペンギン,ぺんぎん
変形,へんけい
偏見,へんけん
弁護,べんご
変更,へんこう
弁護士,べんごし
返済,へんさい
偏在,へんざい
へんじ,へんじ
へんしゅう,へんしゅう
便所,べんじょ
弁償,べんしょう
変装,へんそう
ベンチ,べんち
ペンチ,ぺんち
弁当,べんとう
便利,べんり
保育園,ほいくえん
保育所,ほいくじょ
母音,ぼいん
方,ほう
帽,ぼう
防衛,ぼうえい
貿易,ぼうえき
望遠鏡,ぼうえんきょう
防火,ぼうか
ほうかい,ほうかい
ぼうがい,ぼうがい
方角,ほうがく
放課後,ほうかご
箒,ほうき
箒星,ほうきぼし
封建,ほうけん
方言,ほうげん
冒険,ぼうけん
方向,ほうこう
報告,ほうこく
防災頭巾,ぼうさいずきん
豊作,ほうさく
坊さん,ぼうさん
胞子,ほうし
帽子,ぼうし
放射,ほうしゃ
報酬,ほうしゅう
放出,ほうしゅつ
方針,ほうしん
坊主,ぼうず
坊主頭,ぼうずあたま
宝石,ほうせき
紡績,ぼうせき
放送,ほうそう
放送局,ほうそうきょく
包装紙,ほうそうし
法則,ほうそく
包帯,ほうたい
放題,ほうだい
放置,ほうち
包丁,ほうちょう
膨張,ぼうちょう
放電,ほうでん
報道,ほうどう
豊年,ほうねん
褒美,ほうび
防風林,ぼうふうりん
方法,ほうほう
方方,ほうぼう
法務,ほうむ
方面,ほうめん
訪問,ほうもん
坊や,ぼうや
法律,ほうりつ
法律家,ほうりつか
菠薐草,ほうれんそう
飽和,ほうわ
頬,ほお
ボーイ,ぼーい
ボーイフレンド,ぼーいふれんど
頬被り,ほおかぶり
ポーズ,ぽーず
頬擦り,ほおずり
ポータブル,ぽーたぶる
頬杖,ほおづえ
ボート,ぼーと
ポートボール,ぽーとぼーる
ボーナス,ぼーなす
頬袋,ほおぶくろ
頬べた,ほおべた
ホーム,ほーむ
ホール,ほーる
ボール,ぼーる
ポール,ぽーる
ボール紙,ぼーるがみ
ボールペン,ぼーるぺん
ほか,ほか
保管,ほかん
僕,ぼく
牧師さん,ぼくしさん
牧場,ぼくじょう
ボクシング,ぼくしんぐ
牧草,ぼくそう
牧畜,ぼくちく
北部,ほくぶ
北陸,ほくりく
ポケット,ぽけっと
保健,ほけん
保健室,ほけんしつ
保健所,ほけんじょ
保護,ほご
歩行者,ほこうしゃ
埃,ほこり
綻び,ほころび
星,ほし
保持,ほじ
ほしがき,ほしがき
ほしくさ,ほしくさ
ほしぶどう,ほしぶどう
保守,ほしゅ
募集,ぼしゅう
補助,ほじょ
保証,ほしょう
保証人,ほしょうにん
ボス,ぼす
ポスター,ぽすたー
ポスト,ぽすと
舗装,ほそう
保存,ほぞん
蛍,ほたる
牡丹,ぼたん
牡丹雪,ぼたんゆき
補聴器,ほちょうき
北海道,ほっかいどう
北極,ほっきょく
発足,ほっそく
坊っちゃん,ぼっちゃん
ポット,ぽっと
ホットケーキ,ほっとけーき
